arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
sample_factory/algo/utils/multiprocessing_utils.py,funcao,acquire,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/utils/multiprocessing_utils.py,funcao,release,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/utils/multiprocessing_utils.py,funcao,__enter__,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/utils/multiprocessing_utils.py,funcao,__exit__,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/utils/optimizers.py,funcao,__init__,3,12,13,18,15,31,47.7744,121.1136,2.25,272.5056,15.1392,0.0404
sample_factory/algo/utils/optimizers.py,funcao,zero_grad,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/algo/utils/optimizers.py,funcao,_compute_adam_step,5,12,10,20,17,30,54.6292,122.6239,4.1667,510.9329,28.3852,0.0409
sample_factory/algo/utils/optimizers.py,funcao,_step_list_params,11,21,15,30,32,45,130.2924,225.0,7.8571,1767.8571,98.2143,0.075
sample_factory/algo/utils/optimizers.py,funcao,_step_flat_params,9,21,16,32,30,48,120.768,235.5307,6.8571,1615.068,89.726,0.0785
sample_factory/algo/utils/optimizers.py,funcao,step,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
sample_factory/algo/utils/rl_utils.py,funcao,trajectories_per_minibatch,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/algo/utils/rl_utils.py,funcao,trajectories_per_training_iteration,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/algo/utils/rl_utils.py,funcao,total_num_envs,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/algo/utils/rl_utils.py,funcao,total_num_agents,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/algo/utils/rl_utils.py,funcao,num_agents_per_worker,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/algo/utils/rl_utils.py,funcao,prepare_and_normalize_obs,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/utils/rl_utils.py,funcao,samples_per_trajectory,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/algo/utils/rl_utils.py,funcao,calculate_discounted_sum_torch,6,18,12,23,24,35,90.5684,160.4737,3.8333,615.1491,34.175,0.0535
sample_factory/algo/utils/rl_utils.py,funcao,gae_advantages,5,20,14,25,25,39,98.0482,181.1104,3.125,565.97,31.4428,0.0604
sample_factory/algo/utils/rl_utils.py,funcao,make_dones,1,4,2,4,5,6,8.0,13.9316,0.5,6.9658,0.387,0.0046
sample_factory/algo/utils/running_mean_std.py,funcao,__init__,3,5,3,6,8,9,16.3645,27.0,1.8,48.6,2.7,0.009
sample_factory/algo/utils/running_mean_std.py,funcao,_update_mean_var_count_from_moments,5,19,14,28,24,42,92.3203,192.5684,3.6842,709.4626,39.4146,0.0642
sample_factory/algo/utils/running_mean_std.py,funcao,forward,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/utils/running_mean_std.py,funcao,running_mean_std_summaries,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
sample_factory/algo/utils/shared_buffers.py,funcao,policy_device,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/algo/utils/shared_buffers.py,funcao,init_tensor,4,8,5,8,12,13,32.0,46.6045,2.0,93.209,5.1783,0.0155
sample_factory/algo/utils/shared_buffers.py,funcao,action_info,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/utils/shared_buffers.py,funcao,policy_output_shapes,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/utils/shared_buffers.py,funcao,alloc_trajectory_tensors,5,7,9,15,12,24,31.2611,86.0391,5.3571,460.9238,25.6069,0.0287
sample_factory/algo/utils/shared_buffers.py,funcao,alloc_policy_output_tensors,3,9,5,10,12,15,33.2842,53.7744,1.6667,89.6241,4.9791,0.0179
sample_factory/algo/utils/shared_buffers.py,funcao,__init__,8,20,14,25,28,39,110.4386,187.4868,5.0,937.4342,52.0797,0.0625
sample_factory/algo/utils/tensor_dict.py,funcao,__getitem__,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/utils/tensor_dict.py,funcao,_index_func,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/utils/tensor_dict.py,funcao,__setitem__,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/utils/tensor_dict.py,funcao,_set_data_func,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/utils/tensor_dict.py,funcao,clone_tensordict,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/utils/tensor_dict.py,funcao,shallow_recursive_copy,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/utils/tensor_dict.py,funcao,tensor_dict_to_numpy,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/algo/utils/tensor_dict.py,funcao,to_numpy,0,0,0,0,0,0,0,0,0,0,0,0
